ts,rate
1784620800,0.000067
1784592000,0.000051
1784563200,-0.000056
1784534400,0.000045
1784505600,0.0001
1784476800,0.0001
1784448000,0.0001
1784419200,0.000037
1784390400,0.0001
1784361600,0.0001
1784332800,0.000013
1784304000,0.0001
1784275200,0.0001
1784246400,0.000058
1784217600,0.000039
1784188800,-0.000009
1784160000,-0.000038
1784131200,0.0001
1784102400,0.0001
1784073600,0.0001
1784044800,0.0001
1784016000,0.0001
1783987200,0.0001
1783958400,0.0001
1783929600,0.0001
1783900800,0.0001
1783872000,0.0001
1783843200,0.0001
1783814400,0.0001
1783785600,0.0001
1783756800,0.0001
1783728000,0.0001
1783699200,0.0001
1783670400,0.000013
1783641600,-0.00023
1783612800,0.0001
1783584000,0.0001
1783555200,0.0001
1783526400,0.000067
1783497600,0.000071
1783468800,-0.000101
1783440000,-0.000061
1783411200,0.000042
1783382400,-0.000046
1783353600,0.000018
1783324800,0.000009
1783296000,0.0001
1783267200,0.0001
1783238400,0.0001
1783209600,0.0001
1783180800,0.0001
1783152000,-0.000157
1783123200,0.000029
1783094400,0.0001
1783065600,0.0001
1783036800,0.0001
1783008000,0.0001
1782979200,-0.000067
1782950400,0.000001
1782921600,0.00006
1782892800,0.0001
1782864000,0.0001
1782835200,0.000057
1782806400,0.0001
1782777600,0.0001
1782748800,0.0001
1782720000,0.0001
1782691200,0.0001
1782662400,0.0001
1782633600,0.0001
1782604800,0.0001
1782576000,0.0001
1782547200,0.0001
1782518400,0.0001
1782489600,0.0001
1782460800,0.0001
1782432000,0.0001
1782403200,0.0001
1782374400,0.0001
1782345600,0.0001
1782316800,0.0001
1782288000,0.0001
1782259200,0.0001
1782230400,0.0001
1782201600,0.0001
1782172800,-0.00016
1782144000,0.000082
1782115200,0.000002
1782086400,0.000062
1782057600,0.000055
